Product_ID,Product_Name,Brand,Category,Collection,Season,Base_Price
P001,Puma Eco Tee,Puma,Footwear,Essentials,Spring,79
P002,Puma Classic Jacket,Puma,Apparel,Luxury,Summer,74
P003,Uniqlo Eco Tee,Uniqlo,Apparel,Essentials,Winter,38
P004,Adidas Urban Tee,Adidas,Apparel,Premium,Winter,81
P005,Nike Elite Jeans,Nike,Accessories,Premium,Spring,153
P006,Nike Classic Jeans,Nike,Apparel,Premium,Summer,127
P007,H&M Flex Bag,H&M,Apparel,Premium,Winter,64
P008,Gucci Urban Tee,Gucci,Bags,Essentials,Summer,342
P009,Levi's Eco Tee,Levi's,Bags,Sports,Winter,96
P010,H&M Flex Jacket,H&M,Bags,Essentials,Autumn,39
P011,Zara Elite Jeans,Zara,Apparel,Sports,Autumn,66
P012,Gucci Flex Cap,Gucci,Bags,Essentials,Spring,388
P013,H&M Flex Bag,H&M,Apparel,Sports,Autumn,66
P014,Uniqlo Urban Jeans,Uniqlo,Accessories,Essentials,Winter,57
P015,H&M Urban Jacket,H&M,Bags,Essentials,Autumn,38
P016,Uniqlo Eco Bag,Uniqlo,Bags,Essentials,Winter,60
P017,Nike Flex Bag,Nike,Bags,Sports,Autumn,170
P018,Uniqlo Urban Cap,Uniqlo,Footwear,Essentials,Summer,44
P019,Adidas Elite Tee,Adidas,Apparel,Premium,Summer,108
P020,Nike Eco Jeans,Nike,Bags,Premium,Autumn,96
P021,Zara Flex Jacket,Zara,Bags,Sports,Winter,70
P022,H&M Classic Sneaker,H&M,Bags,Premium,Spring,42
P023,Gucci Classic Jeans,Gucci,Footwear,Essentials,Spring,302
P024,Nike Urban Jeans,Nike,Apparel,Luxury,Spring,89
P025,Uniqlo Elite Jacket,Uniqlo,Footwear,Premium,Autumn,73
P026,H&M Flex Bag,H&M,Apparel,Sports,Winter,60
P027,H&M Flex Cap,H&M,Footwear,Essentials,Autumn,46
P028,Nike Eco Tee,Nike,Apparel,Essentials,Autumn,98
P029,Levi's Elite Sneaker,Levi's,Apparel,Sports,Autumn,126
P030,Puma Urban Jeans,Puma,Footwear,Premium,Autumn,151
P031,Adidas Eco Jacket,Adidas,Footwear,Sports,Summer,100
P032,Puma Elite Sneaker,Puma,Apparel,Luxury,Autumn,130
P033,Puma Classic Sneaker,Puma,Bags,Sports,Autumn,116
P034,H&M Flex Jeans,H&M,Footwear,Premium,Autumn,43
P035,Zara Classic Cap,Zara,Bags,Luxury,Autumn,86
P036,H&M Urban Jacket,H&M,Bags,Sports,Summer,60
P037,Puma Flex Cap,Puma,Apparel,Sports,Winter,129
P038,H&M Urban Jeans,H&M,Footwear,Essentials,Summer,31
P039,Gucci Elite Sneaker,Gucci,Footwear,Premium,Winter,586
P040,Nike Urban Jacket,Nike,Apparel,Essentials,Spring,147
P041,Adidas Eco Sneaker,Adidas,Footwear,Essentials,Summer,112
P042,Puma Elite Jacket,Puma,Accessories,Premium,Summer,77
P043,Uniqlo Urban Jeans,Uniqlo,Footwear,Premium,Spring,63
P044,Zara Classic Jeans,Zara,Footwear,Essentials,Winter,84
P045,Zara Eco Tee,Zara,Accessories,Sports,Winter,51
P046,Adidas Flex Jeans,Adidas,Footwear,Essentials,Spring,139
P047,Zara Elite Jacket,Zara,Apparel,Premium,Summer,89
P048,Gucci Urban Jacket,Gucci,Footwear,Sports,Autumn,536
P049,Nike Classic Cap,Nike,Bags,Essentials,Winter,120
P050,Adidas Urban Cap,Adidas,Bags,Essentials,Autumn,90
P051,Puma Urban Cap,Puma,Footwear,Essentials,Summer,129
P052,H&M Urban Cap,H&M,Bags,Sports,Summer,44
P053,Uniqlo Elite Tee,Uniqlo,Bags,Essentials,Summer,57
P054,Puma Classic Jacket,Puma,Apparel,Essentials,Winter,126
P055,Puma Urban Tee,Puma,Accessories,Premium,Spring,84
P056,H&M Urban Jacket,H&M,Accessories,Essentials,Summer,47
P057,Levi's Classic Bag,Levi's,Bags,Essentials,Winter,101
P058,Zara Classic Cap,Zara,Footwear,Premium,Spring,62
P059,H&M Elite Tee,H&M,Accessories,Essentials,Summer,34
P060,Gucci Eco Sneaker,Gucci,Apparel,Essentials,Winter,387
P061,Zara Classic Sneaker,Zara,Footwear,Luxury,Summer,61
P062,Adidas Flex Jeans,Adidas,Accessories,Premium,Summer,112
P063,Nike Classic Tee,Nike,Accessories,Essentials,Spring,112
P064,Zara Classic Cap,Zara,Footwear,Premium,Summer,73
P065,Uniqlo Elite Cap,Uniqlo,Bags,Premium,Winter,67
P066,Adidas Elite Tee,Adidas,Footwear,Essentials,Summer,126
P067,Nike Urban Tee,Nike,Apparel,Essentials,Autumn,135
P068,H&M Urban Cap,H&M,Bags,Sports,Autumn,68
P069,Levi's Flex Tee,Levi's,Apparel,Premium,Summer,94
P070,Levi's Classic Bag,Levi's,Accessories,Luxury,Autumn,91
P071,Adidas Classic Jacket,Adidas,Accessories,Essentials,Autumn,123
P072,Levi's Elite Tee,Levi's,Footwear,Essentials,Spring,71
P073,Nike Elite Bag,Nike,Bags,Premium,Winter,82
P074,Adidas Eco Jacket,Adidas,Apparel,Premium,Summer,159
P075,Puma Eco Cap,Puma,Bags,Essentials,Summer,75
P076,Uniqlo Eco Cap,Uniqlo,Footwear,Luxury,Spring,78
P077,Adidas Elite Tee,Adidas,Apparel,Essentials,Summer,156
P078,Uniqlo Eco Cap,Uniqlo,Bags,Premium,Spring,75
P079,Adidas Eco Jeans,Adidas,Bags,Essentials,Winter,83
P080,H&M Classic Bag,H&M,Apparel,Sports,Winter,46
P081,Adidas Flex Tee,Adidas,Footwear,Essentials,Winter,138
P082,Gucci Eco Sneaker,Gucci,Accessories,Sports,Summer,289
P083,Puma Eco Sneaker,Puma,Accessories,Sports,Autumn,149
P084,Zara Classic Cap,Zara,Bags,Essentials,Autumn,88
P085,Adidas Flex Jacket,Adidas,Bags,Essentials,Autumn,134
P086,H&M Classic Bag,H&M,Footwear,Essentials,Spring,60
P087,Gucci Flex Sneaker,Gucci,Apparel,Sports,Winter,387
P088,Adidas Eco Bag,Adidas,Apparel,Premium,Summer,170
P089,Puma Elite Sneaker,Puma,Footwear,Premium,Autumn,84
P090,Gucci Flex Cap,Gucci,Bags,Essentials,Summer,251
P091,Gucci Elite Jacket,Gucci,Bags,Essentials,Summer,463
P092,Puma Elite Jacket,Puma,Apparel,Sports,Spring,111
P093,H&M Elite Tee,H&M,Footwear,Sports,Autumn,46
P094,Uniqlo Flex Bag,Uniqlo,Bags,Luxury,Spring,58
P095,Zara Urban Sneaker,Zara,Accessories,Essentials,Autumn,85
P096,Levi's Flex Tee,Levi's,Bags,Premium,Summer,107
P097,Uniqlo Flex Jeans,Uniqlo,Footwear,Sports,Spring,61
P098,Nike Flex Jacket,Nike,Accessories,Premium,Summer,101
P099,Puma Urban Bag,Puma,Accessories,Essentials,Autumn,121
P100,Gucci Urban Jeans,Gucci,Bags,Essentials,Summer,288
P101,Gucci Flex Sneaker,Gucci,Footwear,Premium,Autumn,480
P102,Adidas Classic Bag,Adidas,Footwear,Essentials,Autumn,146
P103,Adidas Flex Jacket,Adidas,Accessories,Essentials,Summer,77
P104,Uniqlo Flex Bag,Uniqlo,Footwear,Essentials,Autumn,38
P105,Puma Elite Sneaker,Puma,Footwear,Sports,Summer,81
P106,Uniqlo Classic Sneaker,Uniqlo,Bags,Premium,Winter,54
P107,Zara Flex Tee,Zara,Bags,Sports,Winter,82
P108,H&M Urban Tee,H&M,Bags,Luxury,Winter,58
P109,Adidas Flex Tee,Adidas,Footwear,Essentials,Spring,167
P110,Zara Classic Cap,Zara,Apparel,Sports,Summer,81
P111,Levi's Classic Tee,Levi's,Footwear,Premium,Winter,74
P112,Levi's Classic Tee,Levi's,Footwear,Essentials,Summer,136
P113,Levi's Flex Jeans,Levi's,Bags,Essentials,Autumn,91
P114,Adidas Elite Tee,Adidas,Footwear,Essentials,Winter,165
P115,Zara Elite Sneaker,Zara,Footwear,Premium,Winter,50
P116,Uniqlo Elite Cap,Uniqlo,Accessories,Essentials,Spring,79
P117,Uniqlo Elite Cap,Uniqlo,Accessories,Sports,Summer,35
P118,H&M Urban Sneaker,H&M,Footwear,Premium,Summer,49
P119,Gucci Eco Jacket,Gucci,Footwear,Essentials,Autumn,305
P120,Nike Urban Jacket,Nike,Footwear,Premium,Spring,156
P121,Zara Classic Cap,Zara,Footwear,Essentials,Summer,71
P122,Zara Classic Sneaker,Zara,Footwear,Essentials,Autumn,52
P123,Puma Elite Cap,Puma,Footwear,Essentials,Winter,74
P124,Uniqlo Classic Tee,Uniqlo,Accessories,Luxury,Winter,45
P125,H&M Eco Sneaker,H&M,Accessories,Essentials,Winter,37
P126,Uniqlo Classic Tee,Uniqlo,Accessories,Sports,Autumn,62
P127,Gucci Elite Bag,Gucci,Footwear,Essentials,Winter,348
P128,Gucci Flex Tee,Gucci,Apparel,Premium,Summer,570
P129,Uniqlo Urban Cap,Uniqlo,Apparel,Premium,Spring,51
P130,H&M Classic Bag,H&M,Accessories,Essentials,Autumn,69
P131,Puma Urban Tee,Puma,Accessories,Essentials,Spring,73
P132,Gucci Flex Jacket,Gucci,Bags,Luxury,Winter,378
P133,Nike Urban Jeans,Nike,Bags,Essentials,Autumn,168
P134,Adidas Eco Tee,Adidas,Accessories,Sports,Winter,121
P135,Adidas Classic Cap,Adidas,Bags,Sports,Summer,127
P136,Zara Flex Tee,Zara,Bags,Premium,Autumn,55
P137,H&M Flex Jacket,H&M,Accessories,Premium,Summer,36
P138,Gucci Eco Cap,Gucci,Footwear,Essentials,Winter,485
P139,Adidas Elite Jeans,Adidas,Apparel,Sports,Autumn,112
P140,Levi's Flex Sneaker,Levi's,Accessories,Essentials,Autumn,85
P141,Nike Urban Bag,Nike,Footwear,Essentials,Autumn,154
P142,H&M Eco Sneaker,H&M,Bags,Essentials,Summer,62
P143,H&M Flex Sneaker,H&M,Bags,Luxury,Spring,30
P144,Gucci Classic Tee,Gucci,Accessories,Essentials,Autumn,369
P145,Adidas Urban Jacket,Adidas,Footwear,Luxury,Autumn,140
P146,Levi's Classic Bag,Levi's,Apparel,Essentials,Autumn,87
P147,Puma Eco Cap,Puma,Footwear,Essentials,Autumn,74
P148,Adidas Elite Sneaker,Adidas,Apparel,Sports,Winter,161
P149,Levi's Flex Tee,Levi's,Apparel,Essentials,Winter,130
P150,Uniqlo Eco Tee,Uniqlo,Apparel,Sports,Summer,75
P151,Nike Elite Jacket,Nike,Bags,Sports,Winter,116
P152,Zara Flex Tee,Zara,Accessories,Sports,Autumn,71
P153,Puma Classic Jacket,Puma,Footwear,Essentials,Winter,96
P154,Nike Eco Bag,Nike,Bags,Essentials,Spring,131
P155,Gucci Urban Cap,Gucci,Footwear,Essentials,Spring,532
P156,Uniqlo Urban Sneaker,Uniqlo,Apparel,Premium,Autumn,67
P157,Puma Classic Jacket,Puma,Accessories,Essentials,Summer,78
P158,Gucci Elite Tee,Gucci,Footwear,Essentials,Spring,497
P159,Uniqlo Urban Jeans,Uniqlo,Apparel,Luxury,Summer,75
P160,Uniqlo Urban Tee,Uniqlo,Footwear,Sports,Summer,71
P161,Uniqlo Urban Cap,Uniqlo,Footwear,Essentials,Spring,44
P162,Adidas Elite Tee,Adidas,Apparel,Sports,Spring,160
P163,Uniqlo Flex Bag,Uniqlo,Bags,Premium,Autumn,76
P164,Adidas Eco Jacket,Adidas,Bags,Essentials,Autumn,132
P165,Nike Urban Jacket,Nike,Apparel,Essentials,Winter,139
P166,Gucci Classic Sneaker,Gucci,Footwear,Sports,Winter,304
P167,Puma Eco Cap,Puma,Bags,Essentials,Winter,134
P168,Zara Eco Tee,Zara,Apparel,Premium,Spring,65
P169,Zara Classic Jeans,Zara,Bags,Sports,Summer,46
P170,H&M Urban Cap,H&M,Footwear,Essentials,Winter,48
P171,Adidas Elite Jeans,Adidas,Apparel,Sports,Autumn,95
P172,Levi's Eco Bag,Levi's,Bags,Essentials,Winter,86
P173,Adidas Flex Sneaker,Adidas,Accessories,Essentials,Summer,98
P174,Levi's Classic Jeans,Levi's,Accessories,Sports,Summer,93
P175,Zara Eco Jeans,Zara,Accessories,Luxury,Winter,80
P176,H&M Elite Jacket,H&M,Accessories,Luxury,Winter,53
P177,Puma Urban Sneaker,Puma,Footwear,Essentials,Spring,126
P178,Zara Eco Cap,Zara,Accessories,Sports,Autumn,64
P179,Puma Elite Jeans,Puma,Apparel,Sports,Summer,89
P180,Uniqlo Flex Sneaker,Uniqlo,Bags,Premium,Spring,43
